ax (m/s^2),ay (m/s^2),az (m/s^2)
1.3081,-0.2257,1.7247
0.8283,-0.3621,1.9863
0.2734,-0.4042,2.0403
-0.2227,-0.3729,1.8906
-0.6736,-0.2736,1.545
-1.0916,-0.2727,1.1199
-1.4529,-0.3523,0.6725
-1.6872,-0.5671,0.292
-1.7903,-0.9023,-0.0606
-1.8202,-1.2432,-0.3331
-1.8353,-1.472,-0.5435
-1.822,-1.5623,-0.7503
-1.8391,-1.5688,-0.9141
-1.82,-1.568,-1.0451
-1.7207,-1.5505,-1.1022
-1.5709,-1.5241,-1.0763
-1.3662,-1.4678,-0.9755
-1.2272,-1.3463,-0.8499
-1.1679,-1.2056,-0.7221
-1.1218,-1.1179,-0.6003
-1.0435,-1.0475,-0.5366
-0.9331,-1.0713,-0.5661
-0.8215,-1.1245,-0.6603
-0.7707,-1.1399,-0.8201
-0.7931,-1.1243,-1.0636
-0.9161,-1.0078,-1.2816
-1.0158,-0.9461,-1.4864
-1.0283,-0.9056,-1.6827
-0.9995,-0.836,-1.8949
-0.9369,-0.7993,-2.0466
-0.764,-0.7908,-2.1377
-0.5203,-0.753,-2.1802
-0.2731,-0.6354,-2.1697
-0.0839,-0.4494,-2.168
-0.0049,-0.1922,-2.0231
-0.0691,0.1291,-1.6798
-0.2634,0.4491,-1.2462
-0.5481,0.7406,-0.8032
-0.7722,0.9617,-0.3593
-0.9272,1.1923,0.0701
-1.0463,1.4597,0.4677
-1.203,1.7409,0.7466
-1.3786,2.0282,0.7218
-1.5029,2.1805,0.3259
-1.5147,2.2756,-0.3768
-1.4023,2.308,-1.2903
-1.1547,2.3452,-2.3098
-0.7669,2.3647,-3.252
-0.2179,2.4688,-3.9529
0.3698,2.817,-4.2003
0.6541,3.0729,-3.7866
0.287,2.8327,-2.6478
-0.762,2.2007,-1.0585
-1.9665,1.4074,0.7071
-2.8623,0.6981,2.5138
-3.2117,0.0531,4.0571
-3.0858,-0.6492,5.1141
-2.5801,-1.3005,5.6624
-1.7217,-1.8001,5.6628
-0.6284,-2.0241,5.0894
0.486,-2.0343,4.039
1.4062,-1.9277,2.7065
1.9784,-1.7025,1.2602
2.0908,-1.3458,-0.1003
1.7889,-0.8264,-1.2353
1.208,-0.2173,-1.9655
0.5085,0.3256,-2.1959
-0.2418,0.6529,-1.9657
-0.9396,0.6786,-1.2464
-1.4697,0.4122,-0.2229
-1.8005,0.0756,0.9207
-1.8571,-0.286,1.9943
-1.5632,-0.5601,2.8278
-0.993,-0.695,3.2303
-0.256,-0.7547,3.1571
0.41,-0.7948,2.5913
0.9128,-0.8462,1.7576
1.2535,-0.9087,0.7717
1.3954,-0.9894,-0.2566
1.4522,-1.0799,-1.1078
1.4399,-1.2418,-1.6362
1.4351,-1.4465,-1.8509
1.3848,-1.6971,-1.798
1.3172,-1.8676,-1.5584
1.2061,-1.9902,-1.145
1.1146,-2.0017,-0.6582
1.0347,-1.9486,-0.2142
0.9975,-1.7411,0.1139
0.9296,-1.504,0.2871
0.8877,-1.283,0.2979
0.8644,-1.0874,0.0909
0.8092,-0.9292,-0.0997
